fecha,id_caso,descripcion,estado_caso,categoria,latitud,longitud
4/5/2019,115,Donec consectetur nulla et sem.,1,robo,75.36,18.18
3/4/2018,103,Aliquam vel enim a massa.,3,asesinato,75.07,18.91
3/29/2020,113,"Nulla risus sem, rhoncus sed.",3,secuestro,76.43,17.08
11/29/2018,126,Fusce volutpat lectus eu cursus.,2,domestico,76.01,17.15
2/25/2019,104,"Aenean eu leo porta, vestibulum.",3,robo,76.29,18.55
10/11/2019,123,Nam eu auctor tortor. Donec.,2,asesinato,75.76,18.34
5/26/2018,111,Suspendisse quis vehicula enim. Nullam.,2,secuestro,75.54,19.18
2/25/2019,124,"Proin et urna aliquam, lacinia.",3,domestico,76.96,19.85
6/20/2018,133,Phasellus sed lorem sed elit.,3,robo,75.87,19.78
2/24/2019,122,"Nullam lorem tortor, suscipit sed.",3,asesinato,76.24,18.84
3/3/2018,139,"Maecenas vulputate, tortor in venenatis.",3,robo,75.54,17.78
4/27/2018,139,Vestibulum suscipit a nulla vel.,2,asesinato,76.48,19.73
7/12/2018,121,Mauris vitae felis sit amet.,2,robo,75.93,21.2
3/21/2018,133,Nunc id dui leo. Aliquam.,2,domestico,75.37,20.09
3/8/2018,100,"Suspendisse egestas, elit eu blandit.",3,secuestro,76.39,19.97
1/1/2018,141,"Nunc lacinia leo risus, ut.",3,asesinato,76.99,19.02
6/18/2018,134,Etiam ut elit vel nunc.,3,robo,75.69,21.36
9/20/2019,107,Aenean consectetur commodo varius. Sed.,2,domestico,76.38,17.93
10/21/2019,145,Aenean quis ante eu risus.,2,robo,75.67,19.52
10/8/2018,120,"Curabitur eleifend ullamcorper diam, at.",2,asesinato,75.79,17.42
1/24/2020,143,Maecenas vulputate lobortis consequat. Pellentesque.,2,secuestro,76.71,18.06
7/25/2019,137,Proin tempor non quam eget.,2,asesinato,75.26,20.29
10/29/2019,108,Vestibulum congue diam nec malesuada.,3,robo,75.71,17.86
6/12/2019,101,"Integer imperdiet ultrices massa, et.",2,domestico,75.78,18.86
3/14/2019,132,Phasellus sit amet vulputate arcu.,3,robo,76.15,18.74
2/12/2020,134,Ut fermentum convallis justo at.,3,secuestro,75.65,20.84
5/18/2018,118,Donec blandit luctus erat. Nunc.,2,domestico,75.34,17.73
