fecha_de_venta,codigo_de_producto,precio_de_venta
[('2019/02/28',1016,101.70),
('2019/11/24',1052,117.15),
('2019/11/02',1028,121.34),
('2019/06/29',1058,110.51),
('2019/01/04',1063,106.46),
('2019/04/30',1081,106.08),
('2019/05/26',1028,109.38),
('2019/03/10',1056,112.57),
('2019/05/01',1063,111.13),
('2019/10/11',1075,108.76),
('2019/02/28',1032,109.37),
('2019/09/30',1099,102.03),
('2019/04/25',1004,104.34),
('2019/12/29',1019,125.68),
('2019/06/07',1079,138.58),
('2019/10/10',1035,104.19),
('2019/12/03',1036,121.15),
('2019/04/16',1007,132.15),
('2019/07/06',1027,116.56),
('2019/05/08',1060,130.58),
('2019/02/15',1061,129.28),
('2019/06/10',1079,111.61),
('2019/09/28',1011,112.80),
('2019/01/10',1092,121.92),
('2019/10/09',1021,111.35),
('2019/03/03',1034,125.00),
('2019/10/17',1042,111.82),
('2019/10/01',1065,115.62),
('2019/11/09',1098,139.23),
('2019/08/22',1074,131.38),
('2019/01/10',1042,119.79),
('2019/11/30',1025,101.80),
('2019/08/08',1061,130.64),
('2020/01/01',1046,123.01),
('2019/10/16',1059,123.48),
('2019/01/02',1040,137.61),
('2019/12/23',1042,115.74),
('2019/09/01',1066,133.01),
('2019/03/07',1073,101.24),
('2019/01/28',1094,130.48),
('2019/01/28',1018,131.63),
('2019/06/28',1056,110.77),
('2019/02/05',1035,104.11),
('2019/01/13',1043,126.91),
('2019/07/22',1030,119.15),
('2019/06/15',1035,139.01),
('2019/12/26',1040,139.21),
('2019/03/13',1053,123.76),
('2019/07/31',1065,127.39),
('2019/10/09',1081,123.06)]
