x1,x2,y1,y2
[(775,899,454,571)
(241,248,492,494)
(228,239,185,207)
(192,270,134,142)
(437,514,780,783)
(523,529,742,819)
(578,649,367,367)
(471,473,267,267)
(409,459,108,194)
(723,816,705,709)
(99,164,547,578)
(739,740,552,552)
(406,427,335,345)
(747,807,511,600)
(28,94,412,440)
(956,993,132,152)
(765,791,226,277)
(704,736,784,790)
(226,265,925,944)
(608,669,635,721)
(583,606,548,557)
(47,77,638,683)
(935,936,97,100)
(163,198,479,492)
(398,488,819,843)
(823,828,201,208)
(645,666,2,28)
(385,393,414,439)
(872,886,249,335)
(428,485,659,664)
(102,145,523,531)
(795,808,708,720)
(17,25,335,349)
(199,244,783,822)
(864,966,561,697)
(795,849,407,423)
(860,867,50,57)
(625,635,770,808)
(218,230,344,387)
(910,916,288,330)
(912,932,112,189)
(764,767,467,476)
(135,155,512,525)
(287,290,250,258)
(626,627,839,852)
(909,912,126,181)
(31,117,988,991)
(719,721,953,973)
(298,344,71,82)
(844,874,745,808)
(146,150,808,824)
(45,53,389,431)
(875,936,217,232)
(122,127,830,840)
(585,709,116,124)
(13,56,177,215)
(167,198,561,579)
(752,838,694,742)
(191,211,286,361)
(995,1034,857,857)
(255,261,976,1047)
(859,905,824,827)
(52,82,557,558)
(782,904,736,811)
(968,1056,280,287)
(766,839,999,1003)
(675,706,852,852)
(787,788,576,599)
(389,403,449,532)
(140,182,794,829)
(649,691,568,635)
(790,819,282,284)
(104,208,378,384)
(302,327,976,984)
(77,182,326,333)
(881,887,81,96)
(226,247,149,182)
(806,827,508,572)
(696,704,860,890)
(173,238,568,597)
(128,212,765,765)
(548,554,409,460)
(994,1012,880,881)
(528,609,604,721)
(524,649,996,1063)
(253,266,537,560)
(60,82,966,980)
(663,694,477,607)
(918,920,383,462)
(701,777,923,929)
(250,298,525,592)
(190,193,603,608)
(812,817,517,543)
(815,831,160,310)
(312,315,325,453)
(635,680,552,617)
(850,957,245,249)
(963,969,781,787)
(802,814,896,942)
(180,185,835,891)
(17,29,89,117)
(982,999,915,952)
(654,691,617,618)
(437,490,954,967)
(461,475,142,160)
(61,109,4,44)
(724,725,258,260)
(712,713,833,902)
(188,252,532,617)
(818,837,214,228)
(580,609,25,40)
(614,633,88,120)
(93,105,489,499)
(347,363,222,245)
(866,876,744,766)
(799,855,378,468)
(86,126,742,746)
(559,600,751,785)
(576,600,901,952)
(467,513,316,316)
(994,1017,67,71)
(684,766,258,326)
(522,533,477,506)
(608,636,666,709)
(990,1058,340,397)
(134,149,672,679)
(262,297,18,68)
(909,916,808,831)
(702,703,746,772)
(129,158,42,56)
(126,175,330,335)
(534,563,616,636)
(550,609,99,149)
(769,860,498,601)
(356,442,837,839)
(645,724,284,297)
(304,351,183,271)
(26,40,111,174)
(90,125,116,130)
(549,563,362,413)
(177,202,513,578)
(601,741,992,1064)
(687,699,215,258)
(159,181,721,778)
(614,676,584,585)
(831,832,792,812)
(992,1005,947,978)
(358,415,414,515)
(346,370,930,947)
(554,561,596,640)
(388,429,706,731)
(599,733,674,707)
(883,890,908,926)
(784,784,910,921)
(12,21,41,103)
(650,656,50,159)
(603,625,188,247)
(743,863,691,697)
(926,926,897,907)
(757,761,273,281)
(190,303,171,230)
(871,876,986,1005)
(721,726,699,727)
(18,25,170,206)
(392,392,111,213)
(712,763,468,487)
(53,64,594,657)
(957,981,106,240)
(753,794,451,504)
(578,604,92,106)
(877,1013,331,419)
(319,375,244,265)
(239,282,906,917)
(168,224,902,1015)
(900,913,794,876)
(281,317,355,442)
(424,444,358,411)
(358,476,525,584)
(635,640,540,634)
(143,236,472,519)
(402,438,430,471)
(796,869,289,416)
(776,884,476,510)
(270,304,605,609)
(930,1002,359,367)
(353,430,554,561)
(139,232,430,453)
(652,661,184,240)
(996,1089,781,825)
(880,886,228,323)
(292,340,630,692)
(732,733,671,698)
(905,907,252,345)
(343,383,946,985)
(902,918,752,785)
(809,809,323,421)
(189,198,419,454)
(505,507,728,766)
(306,334,449,565)]
