fecha,id_caso,descripcion,estado_caso,categoria,latitud,longitud
2019-1-1,1233,NaN,1,murder,100,124
2019-1-2,1234,NaN,2,murder,101,123
2019-1-3,1235,NaN,1,murder,102,122
2019-1-1,1236,NaN,2,murder,103,121
2019-1-2,1237,NaN,3,murder,104,190
2019-1-3,1238,NaN,3,robbery,105,180
2019-1-1,1239,NaN,3,murder,106,170
2019-1-2,1240,NaN,1,robbery,107,160
2019-1-3,1241,NaN,1,murder,105,150
2019-5-1,1242,NaN,1,robbery,104,140
2019-5-2,1243,NaN,1,robbery,101,130
2019-5-3,1244,NaN,1,murder,102,120
2019-5-1,1245,NaN,2,murder,102,110
2019-5-2,1256,NaN,2,murder,103,180
2019-5-3,1257,NaN,1,robbery,101,170
2019-5-1,1259,NaN,1,murder,106,160
2019-5-2,1261,NaN,1,robbery,107,150
2019-5-3,1262,NaN,3,murder,108,140
2019-5-1,1263,NaN,1,robbery,100,130
2019-5-3,1266,NaN,1,robbery,100,130
