id_videojuego,id_tienda,mes,anio,total_ventas_mensuales
[(32690,115,8,2019,967),
(31638,106,3,2018,485),
(10280,104,2,2018,780),
(35355,108,10,2018,939),
(22623,112,3,2019,696),
(12383,103,3,2019,912),
(7922,105,8,2019,248),
(35819,117,4,2018,502),
(36189,116,8,2018,915),
(35859,119,4,2018,524),
(26952,116,2,2019,161),
(29231,120,7,2019,703),
(46451,107,8,2019,926),
(17093,111,12,2018,992),
(21571,104,8,2018,485),
(12514,103,3,2019,347),
(22284,113,7,2019,801),
(23759,100,10,2019,415),
(8553,106,4,2019,611),
(2603,100,7,2018,213),
(11037,103,10,2019,103),
(14086,114,5,2019,253),
(27595,108,12,2019,747),
(46181,113,9,2018,223),
(4312,103,6,2018,805),
(29959,114,7,2018,101),
(7648,112,1,2019,160),
(2714,119,3,2019,301),
(44643,120,2,2019,871),
(30926,114,1,2019,488)]
