transaccion_id,timestamp,vehicle_model_id,price
8867,4/20/2019 9:06,18760,290313
4290,1/4/2019 10:10,39661,262872
5426,4/25/2019 10:17,19676,384585
4273,2/7/2019 10:31,10196,471180
7205,4/9/2019 10:40,17644,810678
5766,5/9/2019 10:44,17715,623702
5304,3/16/2019 10:49,43286,853854
4927,1/6/2019 11:28,45923,1212601
5041,4/4/2019 12:48,41332,778916
3873,4/2/2019 13:37,39855,437256
8224,6/1/2019 13:48,11226,1002737
2808,5/30/2019 14:11,10287,934836
1656,4/18/2019 14:31,12045,353363
8577,1/25/2019 15:33,29307,776334
8442,4/20/2019 15:40,18769,638803
5222,3/12/2019 15:59,18739,337394
8011,5/20/2019 16:01,38125,910163
6728,1/27/2019 16:09,34378,716358
1025,1/7/2019 16:32,10302,468676
1479,3/1/2019 16:59,13700,391594
8478,5/6/2019 17:00,37618,1005940
2450,4/25/2019 17:05,28456,391897
8599,3/16/2019 17:07,39886,272841
6570,5/14/2019 17:08,36321,383660
4548,4/28/2019 17:12,44616,798059
2532,4/15/2019 17:25,30774,440415
4523,5/23/2019 17:32,25131,977230
1854,2/18/2019 17:42,41417,551008
7991,4/9/2019 17:49,23792,637201
8420,1/24/2019 17:56,23115,1046849
1666,3/3/2019 18:56,25633,807998
4275,5/12/2019 19:56,9356,1238842
2262,3/10/2019 20:56,24012,273564
7222,3/17/2019 21:56,40117,882705
7534,2/15/2019 22:56,21571,645015
7517,5/31/2019 23:56,14728,374478
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
