transaccion_id,timestamp,vehicle_model_id,price
8867,2019-04-20 9:06:00,18760,290313
4290,2019-04-21 9:06:00,39661,262872
5426,2019-04-22 9:06:00,19676,384585
4273,2019-04-23 9:06:00,10196,471180
7205,2019-04-24 9:06:00,17644,810678
5766,2019-04-25 9:06:00,17715,623702
5304,2019-04-26 9:06:00,43286,853854
4927,2019-04-27 9:06:00,45923,1212601
5041,2019-04-28 9:06:00,41332,778916
3873,2019-04-29 9:06:00,39855,437256
8224,2019-04-30 9:06:00,11226,1002737
2808,2019-05-01 9:06:00,10287,934836
1656,2019-05-02 9:06:00,12045,353363
8577,2019-05-03 9:06:00,29307,776334
8442,2019-05-04 9:06:00,18769,638803
5222,2019-05-05 9:06:00,18739,337394
8011,2019-05-06 9:06:00,38125,910163
6728,2019-05-07 9:06:00,34378,716358
1025,2019-05-08 9:06:00,10302,468676
1479,2019-05-09 9:06:00,13700,391594
8478,2019-05-10 9:06:00,37618,1005940
2450,2019-05-11 9:06:00,28456,391897
8599,2019-05-12 9:06:00,39886,272841
6570,2019-05-13 9:06:00,36321,383660
4548,2019-05-14 9:06:00,44616,798059
2532,2019-05-15 9:06:00,30774,440415
4523,2019-05-16 9:06:00,25131,977230
1854,2019-05-17 9:06:00,41417,551008
7991,2019-05-18 9:06:00,23792,637201
8420,2019-05-19 9:06:00,23115,1046849
1666,2019-05-20 9:06:00,25633,807998
4275,2019-05-21 9:06:00,9356,1238842
2262,2019-05-22 9:06:00,24012,273564
7222,2019-05-23 9:06:00,40117,882705
7534,2019-05-24 9:06:00,21571,645015
7517,2019-05-25 9:06:00,14728,374478
